SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,묵1동 175-3(고정1)_975,37.6122,127.0777,1.0,2022-12-01
중랑구,묵1동 178-3 (공릉로2길 28-13(묵1동226-2)사잇길)_C-MK01-0058,37.6115,127.0796,1.0,2022-12-01
중랑구,묵1동 175-3(고정4)_975,37.6122,127.0777,1.0,2022-12-01
중랑구,면목2동 193-1 (면목한신APT 후문 상가 앞)_C-MM02-0046,37.5884,127.0766,1.0,2022-12-01
중랑구,묵1동 177-5(보조1)_C-MK01-0011-1,37.6114,127.0793,1.0,2022-12-01
중랑구,묵1동 177-5 (먹골공원)_C-MK01-0011,37.6114,127.0791,1.0,2022-12-01
중랑구,묵1동 180-38 (알뜰슈퍼-교통과에서 이전)_C-MK01-0002,37.6107,127.0786,1.0,2022-12-01
중랑구,묵1동 20 (구민체육센터 건너편)_C-MK01-0032,37.6156,127.0873,1.0,2022-12-01
중랑구,묵1동 182-19(고정2)_C-MK01-0025-B,37.6065,127.0799,1.0,2022-12-01
중랑구,묵1동 180-20(보조)_C-MK01-0002-1,37.6106,127.0783,1.0,2022-12-01
